,Grid_id,Season_year,Date,Precipitation,Elevation_Category,SPI-3
78,1,1990,1991-03-31,27.802858999999998,2000_2500m,0.5960305948340652
79,1,1990,1991-04-30,34.260294,2000_2500m,0.8274776089763437
80,1,1991,1991-10-31,30.370727,2000_2500m,0.8339481242556355
81,1,1991,1991-11-30,49.341099,2000_2500m,1.2324918485521734
82,1,1991,1991-12-31,41.516794000000004,2000_2500m,1.3558201951089641
83,1,1991,1992-01-31,60.643384,2000_2500m,1.8254963340932295
84,1,1991,1992-02-29,45.135184,2000_2500m,1.7639840796620254
85,1,1991,1992-03-31,8.325134,2000_2500m,1.2347718278648814
86,1,1991,1992-04-30,21.994041,2000_2500m,0.47491241371498777
87,1,1992,1992-10-31,31.347009,2000_2500m,0.14181394770741404
88,1,1992,1992-11-30,25.100442,2000_2500m,0.5416537814443831
89,1,1992,1992-12-31,42.485579,2000_2500m,0.9599728122942168
90,1,1992,1993-01-31,18.616579,2000_2500m,0.7076150352321453
91,1,1992,1993-02-28,8.624566,2000_2500m,0.34189985189183325
92,1,1992,1993-03-31,51.27071,2000_2500m,0.5432056123396357
93,1,1992,1993-04-30,27.307229,2000_2500m,0.7282776790256545
94,1,1993,1993-10-31,27.578802,2000_2500m,1.0939497104915066
95,1,1993,1993-11-30,35.819483,2000_2500m,0.799475194674601
96,1,1993,1993-12-31,31.688303,2000_2500m,0.8860558842651317
97,1,1993,1994-01-31,53.592782,2000_2500m,1.3536849709169279
98,1,1993,1994-02-28,51.185752,2000_2500m,1.6004095285109292
99,1,1993,1994-03-31,54.394199,2000_2500m,1.9350226471126972
100,1,1993,1994-04-30,23.492517,2000_2500m,1.4839923130595205
101,1,1994,1994-10-31,59.965768000000004,2000_2500m,1.6217825203690426
102,1,1994,1994-11-30,40.925795,2000_2500m,1.4079926970049133
103,1,1994,1994-12-31,59.410081999999996,2000_2500m,1.950862747958082
104,1,1994,1995-01-31,23.356006,2000_2500m,1.3966200292298137
105,1,1994,1995-02-28,39.680229000000004,2000_2500m,1.3760540664780447
106,1,1994,1995-03-31,34.17424,2000_2500m,0.9271036528186298
107,1,1994,1995-04-30,48.905777,2000_2500m,1.3812498523108154
108,1,1994,1995-05-31,9.526803,2000_2500m,0.8373744513117394
109,1,1995,1995-10-31,55.852943,2000_2500m,1.2379195743463476
110,1,1995,1995-11-30,82.612154,2000_2500m,1.7742457457862106
111,1,1995,1995-12-31,50.032151,2000_2500m,2.3261058991946237
112,1,1995,1996-01-31,76.761706,2000_2500m,2.5827331297778118
113,1,1995,1996-02-29,48.878229000000005,2000_2500m,2.160018361692801
114,1,1995,1996-03-31,18.599466,2000_2500m,1.718602245859185
115,1,1995,1996-04-30,59.125229,2000_2500m,1.4441812844812767
116,1,1995,1996-05-31,21.735418999999997,2000_2500m,0.9699568118893789
117,1,1996,1996-10-31,7.098346,2000_2500m,0.7438081092070775
118,1,1996,1996-11-30,44.594563,2000_2500m,0.428649253245169
119,1,1996,1996-12-31,67.284527,2000_2500m,1.3180724813239801
120,1,1996,1997-01-31,68.454206,2000_2500m,2.221212781941332
121,1,1996,1997-02-28,24.02595,2000_2500m,1.94333709089211
122,1,1996,1997-03-31,18.593301,2000_2500m,1.1818351739796484
123,1,1997,1997-10-31,15.348686,2000_2500m,0.044124683973491494
124,1,1997,1997-11-30,18.96029,2000_2500m,-0.09675519788915031
125,1,1997,1997-12-31,32.857644,2000_2500m,0.28010150998092326
126,1,1997,1998-01-31,74.35185800000001,2000_2500m,1.4371486146169299
127,1,1997,1998-02-28,7.5473110000000005,2000_2500m,1.2460639303961756
128,1,1997,1998-03-31,49.401672,2000_2500m,1.5195066105345292
129,1,1997,1998-04-30,7.219202,2000_2500m,0.20569680392934608
130,1,1998,1998-10-31,19.100078,2000_2500m,0.4809387333443146
131,1,1998,1998-11-30,57.750064,2000_2500m,0.6630048389307786
132,1,1998,1998-12-31,61.183202,2000_2500m,1.6245622815618679
133,1,1998,1999-01-31,71.076397,2000_2500m,2.345232069587437
134,1,1998,1999-02-28,37.043243,2000_2500m,2.0747696810111083
135,1,1998,1999-03-31,41.583923,2000_2500m,1.7993358405573678
136,1,1998,1999-04-30,39.632808,2000_2500m,1.3059472735210975
137,1,1998,1999-05-31,16.176161,2000_2500m,0.9306021234412989
138,1,1999,1999-10-31,64.512829,2000_2500m,1.3406684155970283
139,1,1999,1999-11-30,82.961371,2000_2500m,1.9974486058082925
140,1,1999,1999-12-31,39.436786,2000_2500m,2.305945172439925
141,1,1999,2000-01-31,50.054256,2000_2500m,2.1171662646987226
142,1,1999,2000-02-29,53.347099,2000_2500m,1.697592966538788
143,1,1999,2000-03-31,61.098262000000005,2000_2500m,2.009169502540776
144,1,1999,2000-04-30,27.985418,2000_2500m,1.6914612613402915
145,1,2000,2000-10-31,9.36226,2000_2500m,0.9507159269448391
146,1,2000,2000-11-30,13.729678999999999,2000_2500m,-0.14974529182727767
147,1,2000,2000-12-31,39.991954,2000_2500m,0.17822016045762293
148,1,2000,2001-01-31,15.979642,2000_2500m,0.3412930098647635
149,1,2000,2001-02-28,31.556206999999997,2000_2500m,0.7349666082829832
150,1,2000,2001-03-31,35.363096,2000_2500m,0.6382155862017939
151,1,2000,2001-04-30,17.745231,2000_2500m,0.6755247953762364
152,1,2001,2001-10-31,19.50065,2000_2500m,0.4097008043309177
153,1,2001,2001-11-30,35.899855,2000_2500m,0.42212982304550684
154,1,2001,2001-12-31,35.261412,2000_2500m,0.7986001584845
155,1,2001,2002-01-31,77.173394,2000_2500m,1.7792844185780186
156,1,2001,2002-02-28,33.600714,2000_2500m,1.7453467159862615
157,1,2001,2002-03-31,55.560011,2000_2500m,2.0343615891178173
158,1,2001,2002-04-30,35.881866,2000_2500m,1.4187749350583818
159,1,2001,2002-05-31,9.127288,2000_2500m,0.9908539195653047
160,1,2002,2002-10-31,19.248301,2000_2500m,0.20794510532717414
161,1,2002,2002-11-30,30.821867,2000_2500m,0.07705541479284012
162,1,2002,2002-12-31,21.926394,2000_2500m,0.39544557964539023
